zip_code,week_number,cases_cumulative,case_rate_cumulative,deaths_cumulative,death_rate_cumulative,population
60629,17,36552,32679.5,365,326.3,111850
60632,39,26888,29534.6,266,292.2,91039
60632,40,26906,29554.4,266,292.2,91039
60632,41,26920,29569.7,266,292.2,91039
60632,42,26939,29590.6,266,292.2,91039
60634,28,25657,33761.4,257,338.2,75995
60634,29,25666,33773.3,257,338.2,75995
60634,30,25684,33797,257,338.2,75995
60634,31,25703,33822,257,338.2,75995
60634,32,25736,33865.4,257,338.2,75995
60634,33,25763,33900.9,257,338.2,75995
60634,34,25810,33962.8,257,338.2,75995
60634,35,25854,34020.7,257,338.2,75995
60634,36,25905,34087.8,257,338.2,75995
60634,37,25947,34143,257,338.2,75995
60634,38,25974,34178.6,257,338.2,75995
60634,39,26003,34216.7,257,338.2,75995
60634,40,26033,34256.2,257,338.2,75995
60634,41,26070,34304.9,257,338.2,75995
60629,23,35002,31293.7,358,320.1,111850
